creative,feature,model,train,tone
HOUSE/AZ01 KIRKPATRICK RIGHT WAY,music,knn,1,1
HOUSE/AZ01 KIRKPATRICK RIGHT WAY,music,rf,1,1
HOUSE/AZ01 KIRKPATRICK RIGHT WAY,music,nb,1,1
HOUSE/AZ01 KIRKPATRICK RIGHT WAY,both,lsvm,1,1
HOUSE/AZ01 KIRKPATRICK RIGHT WAY,both,nsvm,1,1
HOUSE/AZ01 KIRKPATRICK RIGHT WAY,both,knn,1,1
HOUSE/AZ01 KIRKPATRICK RIGHT WAY,both,rf,1,1
HOUSE/AZ01 KIRKPATRICK RIGHT WAY,both,nb,1,1
HOUSE/AZ01 PATON KIRKPATRICK OBAMACARE,text,lsvm,1,0
HOUSE/AZ01 PATON KIRKPATRICK OBAMACARE,text,nsvm,1,0
HOUSE/AZ01 PATON KIRKPATRICK OBAMACARE,text,knn,1,0
HOUSE/AZ01 PATON KIRKPATRICK OBAMACARE,text,rf,1,0
HOUSE/AZ01 PATON KIRKPATRICK OBAMACARE,text,nb,1,0
HOUSE/AZ01 PATON KIRKPATRICK OBAMACARE,music,lsvm,1,0
HOUSE/AZ01 PATON KIRKPATRICK OBAMACARE,music,nsvm,1,0
HOUSE/AZ01 PATON KIRKPATRICK OBAMACARE,music,knn,1,0
HOUSE/AZ01 PATON KIRKPATRICK OBAMACARE,music,rf,1,0
HOUSE/AZ01 PATON KIRKPATRICK OBAMACARE,music,nb,1,0
HOUSE/AZ01 PATON KIRKPATRICK OBAMACARE,both,lsvm,1,0
HOUSE/AZ01 PATON KIRKPATRICK OBAMACARE,both,nsvm,1,0
HOUSE/AZ01 PATON KIRKPATRICK OBAMACARE,both,knn,1,0
HOUSE/AZ01 PATON KIRKPATRICK OBAMACARE,both,rf,1,0
HOUSE/AZ01 PATON KIRKPATRICK OBAMACARE,both,nb,1,0
HOUSE/AZ01 PATON&NRCC LEAD BY EXAMPLE,text,lsvm,0,0
HOUSE/AZ01 PATON&NRCC LEAD BY EXAMPLE,text,nsvm,0,0
HOUSE/AZ01 PATON&NRCC LEAD BY EXAMPLE,text,knn,0,1
HOUSE/AZ01 PATON&NRCC LEAD BY EXAMPLE,text,rf,0,0
HOUSE/AZ01 PATON&NRCC LEAD BY EXAMPLE,text,nb,0,0
HOUSE/AZ01 PATON&NRCC LEAD BY EXAMPLE,music,lsvm,0,0
HOUSE/AZ01 PATON&NRCC LEAD BY EXAMPLE,music,nsvm,0,0
HOUSE/AZ01 PATON&NRCC LEAD BY EXAMPLE,music,knn,0,1
HOUSE/AZ01 PATON&NRCC LEAD BY EXAMPLE,music,rf,0,0
HOUSE/AZ01 PATON&NRCC LEAD BY EXAMPLE,music,nb,0,0
HOUSE/AZ01 PATON&NRCC LEAD BY EXAMPLE,both,lsvm,0,0
HOUSE/AZ01 PATON&NRCC LEAD BY EXAMPLE,both,nsvm,0,0
HOUSE/AZ01 PATON&NRCC LEAD BY EXAMPLE,both,knn,0,1
HOUSE/AZ01 PATON&NRCC LEAD BY EXAMPLE,both,rf,0,0
HOUSE/AZ01 PATON&NRCC LEAD BY EXAMPLE,both,nb,0,0
HOUSE/AZ01 TOBIN&NRCC OUTRAGEOUS,text,lsvm,1,1
HOUSE/AZ01 TOBIN&NRCC OUTRAGEOUS,text,nsvm,1,1
HOUSE/AZ01 TOBIN&NRCC OUTRAGEOUS,text,knn,1,1
HOUSE/AZ01 TOBIN&NRCC OUTRAGEOUS,text,rf,1,1
HOUSE/AZ01 TOBIN&NRCC OUTRAGEOUS,text,nb,1,1
HOUSE/AZ01 TOBIN&NRCC OUTRAGEOUS,music,lsvm,1,1
HOUSE/AZ01 TOBIN&NRCC OUTRAGEOUS,music,nsvm,1,1
HOUSE/AZ01 TOBIN&NRCC OUTRAGEOUS,music,knn,1,1
HOUSE/AZ01 TOBIN&NRCC OUTRAGEOUS,music,rf,1,1
HOUSE/AZ01 TOBIN&NRCC OUTRAGEOUS,music,nb,1,1
HOUSE/AZ01 TOBIN&NRCC OUTRAGEOUS,both,lsvm,1,1
HOUSE/AZ01 TOBIN&NRCC OUTRAGEOUS,both,nsvm,1,1
HOUSE/AZ01 TOBIN&NRCC OUTRAGEOUS,both,knn,1,1
HOUSE/AZ01 TOBIN&NRCC OUTRAGEOUS,both,rf,1,1
HOUSE/AZ01 TOBIN&NRCC OUTRAGEOUS,both,nb,1,1
HOUSE/AZ02 BARBER GEOFF OLDFATHER,text,lsvm,1,1
HOUSE/AZ02 BARBER GEOFF OLDFATHER,text,nsvm,1,1
HOUSE/AZ02 BARBER GEOFF OLDFATHER,text,knn,1,1
HOUSE/AZ02 BARBER GEOFF OLDFATHER,text,rf,1,1
HOUSE/AZ02 BARBER GEOFF OLDFATHER,text,nb,1,1
HOUSE/AZ02 BARBER GEOFF OLDFATHER,music,lsvm,1,1
HOUSE/AZ02 BARBER GEOFF OLDFATHER,music,nsvm,1,1
HOUSE/AZ02 BARBER GEOFF OLDFATHER,music,knn,1,1
HOUSE/AZ02 BARBER GEOFF OLDFATHER,music,rf,1,1
HOUSE/AZ02 BARBER GEOFF OLDFATHER,music,nb,1,1
HOUSE/AZ02 BARBER GEOFF OLDFATHER,both,lsvm,1,1
HOUSE/AZ02 BARBER GEOFF OLDFATHER,both,nsvm,1,1
HOUSE/AZ02 BARBER GEOFF OLDFATHER,both,knn,1,1
HOUSE/AZ02 BARBER GEOFF OLDFATHER,both,rf,1,1
HOUSE/AZ02 BARBER GEOFF OLDFATHER,both,nb,1,1
HOUSE/AZ02 BARBER KRIS SCHAEFER ROGERS,text,lsvm,0,0
HOUSE/AZ02 BARBER KRIS SCHAEFER ROGERS,text,nsvm,0,0
HOUSE/AZ02 BARBER KRIS SCHAEFER ROGERS,text,knn,0,0
HOUSE/AZ02 BARBER KRIS SCHAEFER ROGERS,text,rf,0,0
HOUSE/AZ02 BARBER KRIS SCHAEFER ROGERS,text,nb,0,0
HOUSE/AZ02 BARBER KRIS SCHAEFER ROGERS,music,lsvm,0,0
HOUSE/AZ02 BARBER KRIS SCHAEFER ROGERS,music,nsvm,0,0
HOUSE/AZ02 BARBER KRIS SCHAEFER ROGERS,music,knn,0,1
HOUSE/AZ02 BARBER KRIS SCHAEFER ROGERS,music,rf,0,1
HOUSE/AZ02 BARBER KRIS SCHAEFER ROGERS,music,nb,0,0
HOUSE/AZ02 BARBER KRIS SCHAEFER ROGERS,both,lsvm,0,0
HOUSE/AZ02 BARBER KRIS SCHAEFER ROGERS,both,nsvm,0,0
HOUSE/AZ02 BARBER KRIS SCHAEFER ROGERS,both,knn,0,1
HOUSE/AZ02 BARBER KRIS SCHAEFER ROGERS,both,rf,0,1
HOUSE/AZ02 BARBER KRIS SCHAEFER ROGERS,both,nb,0,0
HOUSE/AZ02 BARBER PLENTY OF BLAME TO GO AROUND,text,lsvm,1,1
HOUSE/AZ02 BARBER PLENTY OF BLAME TO GO AROUND,text,nsvm,1,1
HOUSE/AZ02 BARBER PLENTY OF BLAME TO GO AROUND,text,knn,1,1
HOUSE/AZ02 BARBER PLENTY OF BLAME TO GO AROUND,text,rf,1,1
HOUSE/AZ02 BARBER PLENTY OF BLAME TO GO AROUND,text,nb,1,1
HOUSE/AZ02 BARBER PLENTY OF BLAME TO GO AROUND,music,lsvm,1,0
HOUSE/AZ02 BARBER PLENTY OF BLAME TO GO AROUND,music,nsvm,1,0
HOUSE/AZ02 BARBER PLENTY OF BLAME TO GO AROUND,music,knn,1,1
HOUSE/AZ02 BARBER PLENTY OF BLAME TO GO AROUND,music,rf,1,1
HOUSE/AZ02 BARBER PLENTY OF BLAME TO GO AROUND,music,nb,1,0
HOUSE/AZ02 BARBER PLENTY OF BLAME TO GO AROUND,both,lsvm,1,1
HOUSE/AZ02 BARBER PLENTY OF BLAME TO GO AROUND,both,nsvm,1,1
HOUSE/AZ02 BARBER PLENTY OF BLAME TO GO AROUND,both,knn,1,1
HOUSE/AZ02 BARBER PLENTY OF BLAME TO GO AROUND,both,rf,1,1
HOUSE/AZ02 BARBER PLENTY OF BLAME TO GO AROUND,both,nb,1,1
HOUSE/AZ02 BARBER RISING COLLEGE TUITION COSTS,text,lsvm,1,0
HOUSE/AZ02 BARBER RISING COLLEGE TUITION COSTS,text,nsvm,1,0
HOUSE/AZ02 BARBER RISING COLLEGE TUITION COSTS,text,knn,1,1
HOUSE/AZ02 BARBER RISING COLLEGE TUITION COSTS,text,rf,1,0
HOUSE/AZ02 BARBER RISING COLLEGE TUITION COSTS,text,nb,1,0
HOUSE/AZ02 BARBER RISING COLLEGE TUITION COSTS,music,lsvm,1,0
HOUSE/AZ02 BARBER RISING COLLEGE TUITION COSTS,music,nsvm,1,0
HOUSE/AZ02 BARBER RISING COLLEGE TUITION COSTS,music,knn,1,1
HOUSE/AZ02 BARBER RISING COLLEGE TUITION COSTS,music,rf,1,0
HOUSE/AZ02 BARBER RISING COLLEGE TUITION COSTS,music,nb,1,0
HOUSE/AZ02 BARBER RISING COLLEGE TUITION COSTS,both,lsvm,1,0
HOUSE/AZ02 BARBER RISING COLLEGE TUITION COSTS,both,nsvm,1,0
HOUSE/AZ02 BARBER RISING COLLEGE TUITION COSTS,both,knn,1,1
HOUSE/AZ02 BARBER RISING COLLEGE TUITION COSTS,both,rf,1,0
HOUSE/AZ02 BARBER RISING COLLEGE TUITION COSTS,both,nb,1,0
HOUSE/AZ02 BARBER ROBERT GILBERT,text,lsvm,1,1
HOUSE/AZ02 BARBER ROBERT GILBERT,text,nsvm,1,1
HOUSE/AZ02 BARBER ROBERT GILBERT,text,knn,1,1
HOUSE/AZ02 BARBER ROBERT GILBERT,text,rf,1,1
HOUSE/AZ02 BARBER ROBERT GILBERT,text,nb,1,1
HOUSE/AZ02 BARBER ROBERT GILBERT,music,lsvm,1,1
HOUSE/AZ02 BARBER ROBERT GILBERT,music,nsvm,1,1
HOUSE/AZ02 BARBER ROBERT GILBERT,music,knn,1,1
HOUSE/AZ02 BARBER ROBERT GILBERT,music,rf,1,1
HOUSE/AZ02 BARBER ROBERT GILBERT,music,nb,1,0
HOUSE/AZ02 BARBER ROBERT GILBERT,both,lsvm,1,1
HOUSE/AZ02 BARBER ROBERT GILBERT,both,nsvm,1,1
HOUSE/AZ02 BARBER ROBERT GILBERT,both,knn,1,1
HOUSE/AZ02 BARBER ROBERT GILBERT,both,rf,1,1
HOUSE/AZ02 BARBER ROBERT GILBERT,both,nb,1,1
HOUSE/AZ02 BARBER SIMPLY NOT TRUE,text,lsvm,0,0
HOUSE/AZ02 BARBER SIMPLY NOT TRUE,text,nsvm,0,0
HOUSE/AZ02 BARBER SIMPLY NOT TRUE,text,knn,0,0
HOUSE/AZ02 BARBER SIMPLY NOT TRUE,text,rf,0,0
HOUSE/AZ02 BARBER SIMPLY NOT TRUE,text,nb,0,0
HOUSE/AZ02 BARBER SIMPLY NOT TRUE,music,lsvm,0,0
HOUSE/AZ02 BARBER SIMPLY NOT TRUE,music,nsvm,0,0
HOUSE/AZ02 BARBER SIMPLY NOT TRUE,music,knn,0,0
HOUSE/AZ02 BARBER SIMPLY NOT TRUE,music,rf,0,0
HOUSE/AZ02 BARBER SIMPLY NOT TRUE,music,nb,0,0
HOUSE/AZ02 BARBER SIMPLY NOT TRUE,both,lsvm,0,0
HOUSE/AZ02 BARBER SIMPLY NOT TRUE,both,nsvm,0,0
HOUSE/AZ02 BARBER SIMPLY NOT TRUE,both,knn,0,1
HOUSE/AZ02 BARBER SIMPLY NOT TRUE,both,rf,0,0
HOUSE/AZ02 BARBER SIMPLY NOT TRUE,both,nb,0,0
HOUSE/AZ02 BARBER SOME PEOPLE SAY,text,lsvm,1,1
HOUSE/AZ02 BARBER SOME PEOPLE SAY,text,nsvm,1,1
HOUSE/AZ02 BARBER SOME PEOPLE SAY,text,knn,1,1
HOUSE/AZ02 BARBER SOME PEOPLE SAY,text,rf,1,1
HOUSE/AZ02 BARBER SOME PEOPLE SAY,text,nb,1,1
HOUSE/AZ02 BARBER SOME PEOPLE SAY,music,lsvm,1,0
HOUSE/AZ02 BARBER SOME PEOPLE SAY,music,nsvm,1,1
HOUSE/AZ02 BARBER SOME PEOPLE SAY,music,knn,1,1
HOUSE/AZ02 BARBER SOME PEOPLE SAY,music,rf,1,1
HOUSE/AZ02 BARBER SOME PEOPLE SAY,music,nb,1,0
HOUSE/AZ02 BARBER SOME PEOPLE SAY,both,lsvm,1,1
HOUSE/AZ02 BARBER SOME PEOPLE SAY,both,nsvm,1,1
HOUSE/AZ02 BARBER SOME PEOPLE SAY,both,knn,1,1
HOUSE/AZ02 BARBER SOME PEOPLE SAY,both,rf,1,1
HOUSE/AZ02 BARBER SOME PEOPLE SAY,both,nb,1,1
HOUSE/AZ02 MCSALLY PIONEERING SPIRIT,text,lsvm,1,1
HOUSE/AZ02 MCSALLY PIONEERING SPIRIT,text,nsvm,1,1
HOUSE/AZ02 MCSALLY PIONEERING SPIRIT,text,knn,1,1
HOUSE/AZ02 MCSALLY PIONEERING SPIRIT,text,rf,1,1
HOUSE/AZ02 MCSALLY PIONEERING SPIRIT,text,nb,1,1
HOUSE/AZ02 MCSALLY PIONEERING SPIRIT,music,lsvm,1,1
HOUSE/AZ02 MCSALLY PIONEERING SPIRIT,music,nsvm,1,1
HOUSE/AZ02 MCSALLY PIONEERING SPIRIT,music,knn,1,1
HOUSE/AZ02 MCSALLY PIONEERING SPIRIT,music,rf,1,1
HOUSE/AZ02 MCSALLY PIONEERING SPIRIT,music,nb,1,1
HOUSE/AZ02 MCSALLY PIONEERING SPIRIT,both,lsvm,1,1
HOUSE/AZ02 MCSALLY PIONEERING SPIRIT,both,nsvm,1,1
HOUSE/AZ02 MCSALLY PIONEERING SPIRIT,both,knn,1,1
HOUSE/AZ02 MCSALLY PIONEERING SPIRIT,both,rf,1,1
HOUSE/AZ02 MCSALLY PIONEERING SPIRIT,both,nb,1,1
HOUSE/AZ02 MCSALLY REKINDLE,text,lsvm,1,1
HOUSE/AZ02 MCSALLY REKINDLE,text,nsvm,1,1
HOUSE/AZ02 MCSALLY REKINDLE,text,knn,1,1
HOUSE/AZ02 MCSALLY REKINDLE,text,rf,1,1
HOUSE/AZ02 MCSALLY REKINDLE,text,nb,1,1
HOUSE/AZ02 MCSALLY REKINDLE,music,lsvm,1,1
HOUSE/AZ02 MCSALLY REKINDLE,music,nsvm,1,1
HOUSE/AZ02 MCSALLY REKINDLE,music,knn,1,1
HOUSE/AZ02 MCSALLY REKINDLE,music,rf,1,1
HOUSE/AZ02 MCSALLY REKINDLE,music,nb,1,1
HOUSE/AZ02 MCSALLY REKINDLE,both,lsvm,1,1
HOUSE/AZ02 MCSALLY REKINDLE,both,nsvm,1,1
HOUSE/AZ02 MCSALLY REKINDLE,both,knn,1,1
HOUSE/AZ02 MCSALLY REKINDLE,both,rf,1,1
HOUSE/AZ02 MCSALLY REKINDLE,both,nb,1,1
HOUSE/AZ02 MCSALLY WASHINGTON IS BROKEN,text,lsvm,1,0
HOUSE/AZ02 MCSALLY WASHINGTON IS BROKEN,text,nsvm,1,0
HOUSE/AZ02 MCSALLY WASHINGTON IS BROKEN,text,knn,1,0
HOUSE/AZ02 MCSALLY WASHINGTON IS BROKEN,text,rf,1,0
HOUSE/AZ02 MCSALLY WASHINGTON IS BROKEN,text,nb,1,0
HOUSE/AZ02 MCSALLY WASHINGTON IS BROKEN,music,lsvm,1,0
HOUSE/AZ02 MCSALLY WASHINGTON IS BROKEN,music,nsvm,1,0
HOUSE/AZ02 MCSALLY WASHINGTON IS BROKEN,music,knn,1,0
HOUSE/AZ02 MCSALLY WASHINGTON IS BROKEN,music,rf,1,0
HOUSE/AZ02 MCSALLY WASHINGTON IS BROKEN,music,nb,1,1
HOUSE/AZ02 MCSALLY WASHINGTON IS BROKEN,both,lsvm,1,0
HOUSE/AZ02 MCSALLY WASHINGTON IS BROKEN,both,nsvm,1,0
HOUSE/AZ02 MCSALLY WASHINGTON IS BROKEN,both,knn,1,0
HOUSE/AZ02 MCSALLY WASHINGTON IS BROKEN,both,rf,1,0
HOUSE/AZ02 MCSALLY WASHINGTON IS BROKEN,both,nb,1,1
HOUSE/AZ09 ROGERS SERVED,text,lsvm,1,1
HOUSE/AZ09 ROGERS SERVED,text,nsvm,1,1
HOUSE/AZ09 ROGERS SERVED,text,knn,1,1
HOUSE/AZ09 ROGERS SERVED,text,rf,1,1
HOUSE/AZ09 ROGERS SERVED,text,nb,1,1
HOUSE/AZ09 ROGERS SERVED,music,lsvm,1,1
HOUSE/AZ09 ROGERS SERVED,music,nsvm,1,1
HOUSE/AZ09 ROGERS SERVED,music,knn,1,1
HOUSE/AZ09 ROGERS SERVED,music,rf,1,1
HOUSE/AZ09 ROGERS SERVED,music,nb,1,0
HOUSE/AZ09 ROGERS SERVED,both,lsvm,1,1
HOUSE/AZ09 ROGERS SERVED,both,nsvm,1,1
HOUSE/AZ09 ROGERS SERVED,both,knn,1,1
HOUSE/AZ09 ROGERS SERVED,both,rf,1,1
HOUSE/AZ09 ROGERS SERVED,both,nb,1,1
HOUSE/AZ09 ROGERS TERRORIST THREATS,text,lsvm,1,1
HOUSE/AZ09 ROGERS TERRORIST THREATS,text,nsvm,1,1
HOUSE/AZ09 ROGERS TERRORIST THREATS,text,knn,1,1
HOUSE/AZ09 ROGERS TERRORIST THREATS,text,rf,1,0
HOUSE/AZ09 ROGERS TERRORIST THREATS,text,nb,1,1
HOUSE/AZ09 ROGERS TERRORIST THREATS,music,lsvm,1,0
HOUSE/AZ09 ROGERS TERRORIST THREATS,music,nsvm,1,0
HOUSE/AZ09 ROGERS TERRORIST THREATS,music,knn,1,0
HOUSE/AZ09 ROGERS TERRORIST THREATS,music,rf,1,0
HOUSE/AZ09 ROGERS TERRORIST THREATS,music,nb,1,0
HOUSE/AZ09 ROGERS TERRORIST THREATS,both,lsvm,1,0
HOUSE/AZ09 ROGERS TERRORIST THREATS,both,nsvm,1,1
HOUSE/AZ09 ROGERS TERRORIST THREATS,both,knn,1,1
HOUSE/AZ09 ROGERS TERRORIST THREATS,both,rf,1,0
HOUSE/AZ09 ROGERS TERRORIST THREATS,both,nb,1,0
HOUSE/AZ09 SINEMA ALL VOTING,text,lsvm,0,1
HOUSE/AZ09 SINEMA ALL VOTING,text,nsvm,0,1
HOUSE/AZ09 SINEMA ALL VOTING,text,knn,0,1
HOUSE/AZ09 SINEMA ALL VOTING,text,rf,0,0
HOUSE/AZ09 SINEMA ALL VOTING,text,nb,0,1
HOUSE/AZ09 SINEMA ALL VOTING,music,lsvm,0,0
HOUSE/AZ09 SINEMA ALL VOTING,music,nsvm,0,0
HOUSE/AZ09 SINEMA ALL VOTING,music,knn,0,0
HOUSE/AZ09 SINEMA ALL VOTING,music,rf,0,0
HOUSE/AZ09 SINEMA ALL VOTING,music,nb,0,0
HOUSE/AZ09 SINEMA ALL VOTING,both,lsvm,0,1
HOUSE/AZ09 SINEMA ALL VOTING,both,nsvm,0,1
HOUSE/AZ09 SINEMA ALL VOTING,both,knn,0,0
HOUSE/AZ09 SINEMA ALL VOTING,both,rf,0,0
HOUSE/AZ09 SINEMA ALL VOTING,both,nb,0,0
HOUSE/AZ09 SINEMA HOWARD AND JEAN SOMERS 60,text,lsvm,1,1
HOUSE/AZ09 SINEMA HOWARD AND JEAN SOMERS 60,text,nsvm,1,1
HOUSE/AZ09 SINEMA HOWARD AND JEAN SOMERS 60,text,knn,1,1
HOUSE/AZ09 SINEMA HOWARD AND JEAN SOMERS 60,text,rf,1,1
HOUSE/AZ09 SINEMA HOWARD AND JEAN SOMERS 60,text,nb,1,1
HOUSE/AZ09 SINEMA HOWARD AND JEAN SOMERS 60,music,lsvm,1,1
HOUSE/AZ09 SINEMA HOWARD AND JEAN SOMERS 60,music,nsvm,1,1
HOUSE/AZ09 SINEMA HOWARD AND JEAN SOMERS 60,music,knn,1,1
HOUSE/AZ09 SINEMA HOWARD AND JEAN SOMERS 60,music,rf,1,1
HOUSE/AZ09 SINEMA HOWARD AND JEAN SOMERS 60,music,nb,1,1
HOUSE/AZ09 SINEMA HOWARD AND JEAN SOMERS 60,both,lsvm,1,1
HOUSE/AZ09 SINEMA HOWARD AND JEAN SOMERS 60,both,nsvm,1,1
HOUSE/AZ09 SINEMA HOWARD AND JEAN SOMERS 60,both,knn,1,1
HOUSE/AZ09 SINEMA HOWARD AND JEAN SOMERS 60,both,rf,1,1
HOUSE/AZ09 SINEMA HOWARD AND JEAN SOMERS 60,both,nb,1,1
HOUSE/AZ09 SINEMA MORAL OBLIGATION,text,lsvm,0,1
HOUSE/AZ09 SINEMA MORAL OBLIGATION,text,nsvm,0,1
HOUSE/AZ09 SINEMA MORAL OBLIGATION,text,knn,0,1
HOUSE/AZ09 SINEMA MORAL OBLIGATION,text,rf,0,1
HOUSE/AZ09 SINEMA MORAL OBLIGATION,text,nb,0,1
HOUSE/AZ09 SINEMA MORAL OBLIGATION,music,lsvm,0,1
HOUSE/AZ09 SINEMA MORAL OBLIGATION,music,nsvm,0,1
HOUSE/AZ09 SINEMA MORAL OBLIGATION,music,knn,0,1
HOUSE/AZ09 SINEMA MORAL OBLIGATION,music,rf,0,1
HOUSE/AZ09 SINEMA MORAL OBLIGATION,music,nb,0,1
HOUSE/AZ09 SINEMA MORAL OBLIGATION,both,lsvm,0,1
HOUSE/AZ09 SINEMA MORAL OBLIGATION,both,nsvm,0,1
HOUSE/AZ09 SINEMA MORAL OBLIGATION,both,knn,0,1
HOUSE/AZ09 SINEMA MORAL OBLIGATION,both,rf,0,1
HOUSE/AZ09 SINEMA MORAL OBLIGATION,both,nb,0,1
HOUSE/AZ09 SINEMA NEITHER PARTY,text,lsvm,1,1
HOUSE/AZ09 SINEMA NEITHER PARTY,text,nsvm,1,1
HOUSE/AZ09 SINEMA NEITHER PARTY,text,knn,1,1
HOUSE/AZ09 SINEMA NEITHER PARTY,text,rf,1,1
HOUSE/AZ09 SINEMA NEITHER PARTY,text,nb,1,1
HOUSE/AZ09 SINEMA NEITHER PARTY,music,lsvm,1,0
HOUSE/AZ09 SINEMA NEITHER PARTY,music,nsvm,1,1
HOUSE/AZ09 SINEMA NEITHER PARTY,music,knn,1,1
HOUSE/AZ09 SINEMA NEITHER PARTY,music,rf,1,1
HOUSE/AZ09 SINEMA NEITHER PARTY,music,nb,1,0
HOUSE/AZ09 SINEMA NEITHER PARTY,both,lsvm,1,1
HOUSE/AZ09 SINEMA NEITHER PARTY,both,nsvm,1,1
HOUSE/AZ09 SINEMA NEITHER PARTY,both,knn,1,1
HOUSE/AZ09 SINEMA NEITHER PARTY,both,rf,1,1
HOUSE/AZ09 SINEMA NEITHER PARTY,both,nb,1,0
HOUSE/AZ09 SINEMA PAID INTO IT,text,lsvm,1,0
HOUSE/AZ09 SINEMA PAID INTO IT,text,nsvm,1,0
HOUSE/AZ09 SINEMA PAID INTO IT,text,knn,1,1
HOUSE/AZ09 SINEMA PAID INTO IT,text,rf,1,1
HOUSE/AZ09 SINEMA PAID INTO IT,text,nb,1,0
HOUSE/AZ09 SINEMA PAID INTO IT,music,lsvm,1,1
HOUSE/AZ09 SINEMA PAID INTO IT,music,nsvm,1,1
HOUSE/AZ09 SINEMA PAID INTO IT,music,knn,1,0
HOUSE/AZ09 SINEMA PAID INTO IT,music,rf,1,1
HOUSE/AZ09 SINEMA PAID INTO IT,music,nb,1,0
HOUSE/AZ09 SINEMA PAID INTO IT,both,lsvm,1,0
HOUSE/AZ09 SINEMA PAID INTO IT,both,nsvm,1,0
HOUSE/AZ09 SINEMA PAID INTO IT,both,knn,1,1
HOUSE/AZ09 SINEMA PAID INTO IT,both,rf,1,1
HOUSE/AZ09 SINEMA PAID INTO IT,both,nb,1,0
HOUSE/AZ09 SINEMA PARKER FORCE VIEWS ON WOMEN,text,lsvm,0,0
HOUSE/AZ09 SINEMA PARKER FORCE VIEWS ON WOMEN,text,nsvm,0,0
HOUSE/AZ09 SINEMA PARKER FORCE VIEWS ON WOMEN,text,knn,0,0
HOUSE/AZ09 SINEMA PARKER FORCE VIEWS ON WOMEN,text,rf,0,0
HOUSE/AZ09 SINEMA PARKER FORCE VIEWS ON WOMEN,text,nb,0,0
HOUSE/AZ09 SINEMA PARKER FORCE VIEWS ON WOMEN,music,lsvm,0,0
HOUSE/AZ09 SINEMA PARKER FORCE VIEWS ON WOMEN,music,nsvm,0,0
HOUSE/AZ09 SINEMA PARKER FORCE VIEWS ON WOMEN,music,knn,0,0
HOUSE/AZ09 SINEMA PARKER FORCE VIEWS ON WOMEN,music,rf,0,0
HOUSE/AZ09 SINEMA PARKER FORCE VIEWS ON WOMEN,music,nb,0,0
HOUSE/AZ09 SINEMA PARKER FORCE VIEWS ON WOMEN,both,lsvm,0,0
HOUSE/AZ09 SINEMA PARKER FORCE VIEWS ON WOMEN,both,nsvm,0,0
HOUSE/AZ09 SINEMA PARKER FORCE VIEWS ON WOMEN,both,knn,0,0
HOUSE/AZ09 SINEMA PARKER FORCE VIEWS ON WOMEN,both,rf,0,0
HOUSE/AZ09 SINEMA PARKER FORCE VIEWS ON WOMEN,both,nb,0,0
HOUSE/AZ09 SINEMA WOMEN,text,lsvm,1,1
HOUSE/AZ09 SINEMA WOMEN,text,nsvm,1,1
HOUSE/AZ09 SINEMA WOMEN,text,knn,1,1
HOUSE/AZ09 SINEMA WOMEN,text,rf,1,1
HOUSE/AZ09 SINEMA WOMEN,text,nb,1,1
HOUSE/AZ09 SINEMA WOMEN,music,lsvm,1,1
HOUSE/AZ09 SINEMA WOMEN,music,nsvm,1,1
HOUSE/AZ09 SINEMA WOMEN,music,knn,1,1
HOUSE/AZ09 SINEMA WOMEN,music,rf,1,1
HOUSE/AZ09 SINEMA WOMEN,music,nb,1,0
HOUSE/AZ09 SINEMA WOMEN,both,lsvm,1,1
HOUSE/AZ09 SINEMA WOMEN,both,nsvm,1,1
HOUSE/AZ09 SINEMA WOMEN,both,knn,1,1
HOUSE/AZ09 SINEMA WOMEN,both,rf,1,1
HOUSE/AZ09 SINEMA WOMEN,both,nb,1,0
HOUSE/AZ09 SINEMA&DCCC AS A SOCIAL WORKER,text,lsvm,1,1
HOUSE/AZ09 SINEMA&DCCC AS A SOCIAL WORKER,text,nsvm,1,1
HOUSE/AZ09 SINEMA&DCCC AS A SOCIAL WORKER,text,knn,1,1
HOUSE/AZ09 SINEMA&DCCC AS A SOCIAL WORKER,text,rf,1,1
HOUSE/AZ09 SINEMA&DCCC AS A SOCIAL WORKER,text,nb,1,1
HOUSE/AZ09 SINEMA&DCCC AS A SOCIAL WORKER,music,lsvm,1,1
HOUSE/AZ09 SINEMA&DCCC AS A SOCIAL WORKER,music,nsvm,1,1
HOUSE/AZ09 SINEMA&DCCC AS A SOCIAL WORKER,music,knn,1,1
HOUSE/AZ09 SINEMA&DCCC AS A SOCIAL WORKER,music,rf,1,1
HOUSE/AZ09 SINEMA&DCCC AS A SOCIAL WORKER,music,nb,1,0
HOUSE/AZ09 SINEMA&DCCC AS A SOCIAL WORKER,both,lsvm,1,1
HOUSE/AZ09 SINEMA&DCCC AS A SOCIAL WORKER,both,nsvm,1,1
HOUSE/AZ09 SINEMA&DCCC AS A SOCIAL WORKER,both,knn,1,1
HOUSE/AZ09 SINEMA&DCCC AS A SOCIAL WORKER,both,rf,1,1
HOUSE/AZ09 SINEMA&DCCC AS A SOCIAL WORKER,both,nb,1,1
HOUSE/CA03 GARAMENDI CLINTON IN THIS TOGETHER,text,lsvm,1,1
HOUSE/CA03 GARAMENDI CLINTON IN THIS TOGETHER,text,nsvm,1,1
HOUSE/CA03 GARAMENDI CLINTON IN THIS TOGETHER,text,knn,1,1
HOUSE/CA03 GARAMENDI CLINTON IN THIS TOGETHER,text,rf,1,1
