creative,train,uid,music1,music2,music3,music4
GOV/SD DAUGAARD LINDA,1,AIAIMvCS6Qk,0,1,0,0
GOV/SD DAUGAARD STAY TRUE,1,MWhahIcCKtw,0,1,0,0
GOV/SD DAUGAARD ZAY NORMAN 60,1,TEI2_j5B79U,0,1,0,0
GOV/TN HASLAM OUR SCHOOLS,1,_w76BlUhH3Y,0,1,0,0
GOV/TN HASLAM WORK HORSE 60,1,dJodgq3WZuM,0,1,0,0
GOV/TN HASLAM WORKING TOGETHER,1,r7qLqMo-5JY,0,1,0,0
GOV/TX ABBOTT AFTER MY ACCIDENT,1,pAuKRyQgvgU,0,1,0,1
GOV/TX ABBOTT EVERY WEEK,0,4kKt5vqkotE,0,1,0,0
GOV/TX ABBOTT MARY PHALEN,0,kUF9bGLdnEc,0,1,1,0
GOV/TX ABBOTT MIRANDA,1,pm6Ze_Py7VA,0,1,0,1
GOV/TX ABBOTT TOGETHER WE CAN,1,Qsv85rhr-Ho,0,1,0,0
GOV/TX ABBOTT TRAFFIC,0,VYEYP8fjBFQ,0,1,0,0
GOV/TX DAVIS A TREE,1,lush7TZB860,0,0,1,1
GOV/TX DAVIS ABBOTT VS EDUCATION,1,0c-NX8Pu1k4,1,1,1,1
GOV/TX DAVIS EDUCATION LED ME,0,qg3OMTjYTc0,0,1,1,1
GOV/TX DAVIS MANUEL ALVARADO,1,_Vy-YD3mFcM,1,0,1,1
GOV/TX DAVIS MARCH 26 60,0,EV3aMuXsOVQ,1,0,1,1
GOV/TX DAVIS TEXAS SURGEON,1,62DtQZWAIzw,1,0,1,1
GOV/UT HERBERT EDUCATION TOP PRIORITY,1,Hh8QeYYqFUQ,0,1,1,0
GOV/UT HERBERT EDUCATION TOP PRIORITY REV,1,tPqI5W07ZLA,0,1,1,0
GOV/UT HERBERT ENERGY INDEPENDENCE 60,1,xHbrbUY9_AA,0,1,1,0
GOV/UT HERBERT FREE ENTERPRISE,1,zsuS-e8A6YU,0,1,1,0
GOV/UT HERBERT PUT UTAHNS TO WORK,0,5cfqt2OWi-w,0,1,1,0
GOV/VA CUCCINELLI BIG DIFFERENCES,0,AmwNLc7dFQk,1,1,0,1
GOV/VA CUCCINELLI CORRUPT INSIDER,1,8j4DcRqu0pI,0,0,1,1
GOV/VA CUCCINELLI DEEPLY UNSERIOUS,1,Mcqjn3-ebAQ,1,0,0,1
GOV/VA CUCCINELLI FEDERAL INVESTIGATIONS,0,kS6hVjvGJag,1,0,0,1
GOV/VA CUCCINELLI GARBARINO,1,XdiV--xv2Tc,0,0,1,1
GOV/VA CUCCINELLI HAYNESWORTH 60,1,IR1E7ECImJs,0,1,1,0
GOV/VA CUCCINELLI NEW LOW,0,YxHytvYS6MA,0,1,0,1
GOV/VA CUCCINELLI NOT SUSTAINABLE 15,1,FNUVasmLMok,1,0,0,1
GOV/VA CUCCINELLI OBAMACARE,1,xwptTt-93k0,1,0,0,1
GOV/VA CUCCINELLI OFFERING 15,1,BTEA1ANiNRU,1,0,0,1
GOV/VA CUCCINELLI OPPORTUNITY,0,-DbFa8VZyk0,1,1,0,0
GOV/VA CUCCINELLI SCANDAL,1,SiqB1jkXfKI,1,0,0,1
GOV/VA CUCCINELLI THE TRUTH,1,faYcuihRYW8,1,0,1,1
GOV/VA CUCCINELLI TICHI,0,r6vj_wP7QyA,0,1,1,1
GOV/VA CUCCINELLI WAR ON COAL,1,4PkjgxVzJK0,0,1,0,1
GOV/VA CUCCINELLI WAR ON COAL REV,0,ohkdt-Uhxn8,1,1,0,1
GOV/VA CUCCINELLI WHO CAN YOU TRUST,1,RmWr5mygwVE,1,0,0,1
GOV/VA CUCCINELLI YOUR SIDE,1,1aP-8C63nkg,0,1,0,0
GOV/VA MCAULIFFE BIRTH CONTROL PILLS,1,Cg5BtFeuV9A,1,0,0,1
GOV/VA MCAULIFFE DIVORCE LAWS,1,q-55aPMOcBE,1,0,0,1
GOV/VA MCAULIFFE EDUCATION,1,VF8cu2QxBu0,1,0,1,1
GOV/VA MCAULIFFE EXTREME AGENDA,0,eh4mPUhan70,1,1,0,1
GOV/VA MCAULIFFE FOCUS,0,aVa6k3PRl5Q,0,1,0,0
GOV/VA MCAULIFFE GIFTS,0,8ArggKrSSwk,1,0,0,1
GOV/VA MCAULIFFE HOLLY PURITZ,1,SZckqiIJdKE,0,0,1,1
GOV/VA MCAULIFFE IN THE RACE 15,1,-ypmoR--LdI,0,1,0,0
GOV/VA MCAULIFFE JOBS,1,gdUlE_Fd4qc,0,1,0,0
GOV/VA MCAULIFFE KATHERINE WADDELL,0,yHmGOfZ1J9A,0,1,0,0
GOV/VA MCAULIFFE KEN OSBORNE 60,1,a4uHv_yZZ40,0,0,1,0
GOV/VA MCAULIFFE LANDOWNERS,1,hz7gkphqchs,1,0,0,1
GOV/VA MCAULIFFE LARRY 15,1,u_Ypcy1SEVQ,1,0,0,0
GOV/VA MCAULIFFE MARK WARNER,1,yG77LQYuyPk,0,1,0,0
GOV/VA MCAULIFFE MEADE 15,1,HAlJ8cLexh4,0,1,0,0
GOV/VA MCAULIFFE NEW LOW,1,s2hKwx96t1k,1,0,0,1
GOV/VA MCAULIFFE OUTSTANDING,1,Wg2VlqQGPkE,0,1,0,0
GOV/VA MCAULIFFE PAUL OSBORNE,1,9d_3c2Fd6kA,1,0,1,1
GOV/VA MCAULIFFE PROUD,1,R0Vv6Tme_6Q,0,1,0,0
GOV/VA MCAULIFFE RADICAL PLANS,1,Wc83kXjwYt4,1,0,0,1
GOV/VA MCAULIFFE SEPTEMBER 2012,1,pkSvup9thME,1,0,0,1
GOV/VA MCAULIFFE SESSOMS 15,0,OZAJTH3DbPE,0,1,0,0
GOV/VA MCAULIFFE SHIRLEY KEENE 60,0,gaZX_hLkmaY,0,0,1,1
GOV/VA MCAULIFFE SHUTDOWN,1,BLDbe9DubIQ,1,0,1,1
GOV/VA MCAULIFFE TOO IMPORTANT,1,pSy92npgOuE,1,1,0,1
GOV/VA MCAULIFFE TROUBLED,1,8ehaQ4pkRb4,1,0,0,1
GOV/VA MCAULIFFE TWISTS THE FACTS,1,n-BrU7fw2zg,1,0,0,1
GOV/VA MCAULIFFE WHAT CUCCINELLI SAYS,1,w_2_m8d1GFM,1,0,0,1
GOV/VA MCAULIFFE WITCH HUNT,1,gss2D-s6SvQ,1,0,0,1
GOV/VA MCAULIFFE YOUNGEST OF FOUR,0,EmM_Y6uUCPg,0,1,0,0
GOV/VT BROCK HIS PARENTS,1,enObHYD_-SM,0,1,0,0
GOV/VT BROCK KIDS LEAVE VERMONT,1,P82NFab7QiU,1,1,0,1
GOV/VT BROCK SHUMLIN HEALTHCARE,0,8JA0_WfRBQU,0,1,1,1
GOV/VT BROCK SHUMLINS VERMONT,1,O7tUZxugU_E,1,1,0,1
GOV/VT BROCK THE VERMONT WAY,0,Auv1qwQd7gg,1,1,0,1
GOV/VT MILNE HAPPY,1,dvxpHOkT71Q,0,1,0,1
GOV/VT MILNE OUT OF STATE,1,I8FLi-bm07c,1,0,1,1
GOV/VT MILNE SMALL BUSINESS,1,yrc3TSgsNTc,0,1,1,0
GOV/VT SHUMLIN AGREE,1,TxNsKsnYcWg,0,1,0,0
GOV/VT SHUMLIN ENERGY FUTURE,1,0jfeJVCTlBI,0,1,0,0
GOV/VT SHUMLIN GET TOUGH THINGS DONE,1,WYI8I885Gls,0,1,1,0
GOV/VT SHUMLIN JOHN WALL,1,mHDWBFzBUFQ,0,1,1,0
GOV/VT SHUMLIN MY DAUGHTER,1,s8d6WjWbu-4,0,1,1,0
GOV/VT SHUMLIN PATRICK LEAHY,1,aKYnJHNxZdw,0,1,0,0
GOV/VT SHUMLIN RAINA LOWELL,1,CINuSQJJVU8,0,1,0,0
GOV/VT SHUMLIN THERE FOR US,1,Mc7Y6B3g6wE,0,1,0,0
GOV/WA INSLEE CLINTON,1,sahcoZyCifY,0,1,0,0
GOV/WA INSLEE CREATE INVENT BUILD,1,hCfNcpNnU90,0,1,0,0
GOV/WA INSLEE JOBS PLAN,1,j8DUr_0STVo,0,1,0,0
GOV/WA INSLEE MCKENNA WOMENS HEALTHCARE,1,8ZHtq7UFxAs,1,0,0,0
GOV/WA INSLEE PROTECT OUR PENSIONS,0,jncJUnpdI8Y,1,0,0,0
GOV/WA INSLEE SUPPORTING,1,mxBaNzVNQFc,0,1,0,0
GOV/WA INSLEE WHO WILL BRING CHANGE,1,czd0d0UNHoY,1,1,0,1
GOV/WI BURKE 11 DOLLARS,1,Vu4yQTzxwqM,1,0,1,1
GOV/WI BURKE ANNIE PENDL,1,yPcRP78CRjg,0,1,0,0
GOV/WI BURKE AUGUST,1,EKcLFvZaKjQ,0,1,0,0
GOV/WI BURKE BILL CLINTON,1,uCBq-T-gTGs,0,1,0,0
GOV/WI BURKE ERIN FORREST 15,0,yNcspJIpSKM,0,1,0,1
GOV/WI BURKE FAIRYTALE AD,0,iAoq7ldS8i0,0,0,0,1
GOV/WI BURKE GARY ELLERMAN,1,K74nXfUDhDI,1,0,0,1
GOV/WI BURKE HAPPENED AGAIN,1,uX9F0kxYG_M,0,0,1,1
GOV/WI BURKE HE CALLS IT,1,Rv6bwt-Euw4,0,0,1,1
GOV/WI BURKE HOLD ON,1,VuI5R7EzvFw,1,0,1,1
GOV/WI BURKE JULY 2014,1,fCKQ55HiNjI,0,0,1,1
GOV/WI BURKE MIDWEST,1,zJLsOCpfHXg,1,0,0,1
GOV/WI BURKE NEXT FOUR YEARS,1,QKnNBygwLEs,1,0,0,1
GOV/WI BURKE OLD RED BARN 60,1,AcDZDIN_ijI,1,1,0,1
GOV/WI BURKE POLITICAL FISTFIGHTS,1,ZJ_SA7f9uNs,0,0,1,1
GOV/WI BURKE QUINCE & APPLE 60,1,4XQQb0zMSU8,0,1,0,0
GOV/WI BURKE RONALD REAGAN,1,NylJy0Vl0Fg,0,1,0,0
GOV/WI BURKE TARA PABELLON,1,ghYv2XTg1sY,0,0,1,1
GOV/WV MALONEY FEWER PEOPLE WORKING,1,XV_mUbU3CwM,1,1,0,1
GOV/WV MALONEY NEGATIVE ADS,1,Gd5kEJF8yoU,0,1,1,0
GOV/WV MALONEY OUT OF TOUCH TOMBLIN,1,lvQ9T70NMOk,1,0,0,1
GOV/WV MALONEY SHARON MALONEY,1,snhqp_ef91U,0,1,0,0
GOV/WV MALONEY TOMBLIN USED POWER,1,eoSP0Px-JlY,1,1,0,1
GOV/WV MALONEY TOMBLINS 37 YEARS,1,n6ZLUZo77es,1,0,0,1
GOV/WV TOMBLIN ABOUT WEST VIRGINIA,1,D76J34e6ev4,0,1,0,0
GOV/WV TOMBLIN JUST ACROSS THE TRACKS,1,-gResrcQw7A,0,1,0,0
GOV/WV TOMBLIN WHEN TIMES ARE TOUGH,1,t_ga2YKPHmU,0,1,0,0
GOV/WV TOMBLIN WV COAL MINERS,1,7hvw7s5CTa4,1,1,0,1
HOUSE/AK01 YOUNG SENATOR MURKOWSKI,1,dKNl1amq6u0,0,1,0,0
HOUSE/AK01 YOUNG WHAT HAPPENS HERE,1,lHZZERCg6OA,0,1,0,0
HOUSE/AL06 PALMER FOR SIX YEARS,1,s1rOwSngzko,1,1,0,1
HOUSE/AR01 CRAWFORD IT CAME FROM WASHINGTON,1,bqAfEUP4evU,1,1,0,1
HOUSE/AR01 CRAWFORD TICKING TIME BOMB,1,QEtYnTXi_yc,0,1,0,1
HOUSE/AR02 HAYS BUSINESSES,1,ik5xwl3_FLs,0,1,0,0
HOUSE/AR02 HAYS CATERPILLAR,0,OPsrE_rKl2E,0,1,0,0
HOUSE/AR02 HAYS FRENCH HILL'S BEST INVESTMENT,0,eUCv_jCSMwc,0,0,0,1
HOUSE/AR02 HAYS OPPOSITE OF WASHINGTON,1,FBj5vhzjJ6E,0,1,0,0
HOUSE/AR02 HAYS THE FACTS ARE CLEAR,1,u-NmUjuvwWI,1,0,0,1
HOUSE/AR02 HILL ARKANSAS DEMOCRAT GAZETTE,1,Jo20hXiMyGE,1,0,0,1
HOUSE/AR02 HILL ATTACKING ME FALSELY,1,ro_yR9CnrOE,1,0,0,1
HOUSE/AR02 HILL PASTOR TOM MITCHELL,1,-ZE7ALCwN2c,0,1,1,0
HOUSE/AR02 HILL REAL CHOICE,1,tyBtWPPYhIw,1,0,0,0
HOUSE/AR04 COTTON FIGHT THROUGH THE FIRE 15,1,VQd-oNNr2XQ,0,1,0,0
HOUSE/AR04 COTTON WE ALL TOOK AN OATH,1,5Cj0q0EbQTs,0,1,0,0
HOUSE/AR04 DCCC&WITT BIPARTISAN,1,ciqxLp02uCI,0,1,1,0
HOUSE/AR04 WESTERMAN THE VALUES,1,v2HfIC-Ce-s,0,1,0,0
HOUSE/AR04 WITT LED THE RESPONSE,0,6ng8ttq5HqY,0,1,0,0
HOUSE/AR04 WITT WASHINGTON IS BROKEN,1,sg_MfJtE9Ao,0,1,1,0
HOUSE/AZ01 KIRKPATRICK AT 18,1,5mOVM92jiF8,0,1,0,0
HOUSE/AZ01 KIRKPATRICK DRIVEN,1,H-vApzyuhVc,0,1,0,1
HOUSE/AZ01 KIRKPATRICK NEWSPAPERS AGREE,0,aeS05avHDs0,1,0,0,1
HOUSE/AZ01 KIRKPATRICK REFUNDED,1,GokdiJLMrpw,1,1,0,1
HOUSE/AZ01 KIRKPATRICK RIGHT WAY,1,IwzYREAxI0M,0,1,1,0
HOUSE/AZ01 KIRKPATRICK THESE BOOTS,1,cY6nT_ChSMI,1,1,0,1
HOUSE/AZ01 PATON KIRKPATRICK OBAMACARE,1,0SxXVygJTWY,1,0,0,1
HOUSE/AZ01 PATON&NRCC LEAD BY EXAMPLE,1,h-9_m2JpKus,1,1,0,1
HOUSE/AZ01 TOBIN PLAY GAMES IN WASHINGTON,1,5M4UXObrTDk,1,1,0,0
HOUSE/AZ01 TOBIN&NRCC OUTRAGEOUS,0,izTPOq8klxE,0,1,0,0
HOUSE/AZ02 BARBER BEHIND THE GIMMICKS,1,oh2OOX8qEp0,0,1,0,1
HOUSE/AZ02 BARBER GEOFF OLDFATHER,1,dumZiFQRcqY,0,1,0,0
HOUSE/AZ02 BARBER KRIS SCHAEFER ROGERS,1,FVkP2g4TgSw,0,0,1,1
HOUSE/AZ02 BARBER NICOLE,1,MwOlloLgDG0,1,1,0,1
HOUSE/AZ02 BARBER PLENTY OF BLAME TO GO AROUND,1,d0AxbxHdeQ8,1,1,0,1
HOUSE/AZ02 BARBER RISING COLLEGE TUITION COSTS,0,0OD90PfCLJU,0,1,0,1
HOUSE/AZ02 BARBER ROBERT GILBERT,1,ymD6oQ9PeYQ,0,1,0,0
HOUSE/AZ02 BARBER SIMPLY NOT TRUE,1,oqn-If0W65k,1,0,1,1
HOUSE/AZ02 BARBER SOME PEOPLE SAY,1,xKTPn3I2joI,0,1,0,1
HOUSE/AZ02 MCSALLY ATTACK ADS,1,3oHi9-Q5I2c,1,1,0,1
HOUSE/AZ02 MCSALLY DANGEROUS WORLD,1,QHZavn2zXjs,1,0,0,1
HOUSE/AZ02 MCSALLY NOW I'M VOTING,1,fR09gQCG1kg,0,1,0,0
HOUSE/AZ02 MCSALLY PIONEERING SPIRIT,1,x3-mcf9owZQ,0,1,0,0
HOUSE/AZ02 MCSALLY REKINDLE,1,1-edDFTY9iM,0,1,0,0
HOUSE/AZ02 MCSALLY RON BARBER AND HIS ALLIES,1,t2Gevo23rhg,1,0,0,0
HOUSE/AZ02 MCSALLY WASHINGTON IS BROKEN,1,v5pcC-a1j8g,1,0,0,1
HOUSE/AZ02 MCSALLY WE'RE LOSING,1,hGnFfHjM9wE,1,1,0,0
HOUSE/AZ09 ROGERS SERVED,0,WYROWlwLASk,0,1,0,1
HOUSE/AZ09 ROGERS TERRORIST THREATS,1,_DF8VKLTSHQ,1,0,0,1
HOUSE/AZ09 SINEMA ALL VOTING,0,me83ufLN2nM,0,1,1,1
HOUSE/AZ09 SINEMA HOWARD AND JEAN SOMERS 60,1,-9WydeJNLHU,0,0,1,1
HOUSE/AZ09 SINEMA MORAL OBLIGATION,1,eDi3riI1KTg,0,1,0,0
HOUSE/AZ09 SINEMA NEITHER PARTY,1,q-txGzhzDIo,0,1,1,0
HOUSE/AZ09 SINEMA PAID INTO IT,1,yNHR01lVy_g,0,1,1,0
HOUSE/AZ09 SINEMA PARKER FORCE VIEWS ON WOMEN,1,csM6A65D4cA,0,1,1,1
HOUSE/AZ09 SINEMA WOMEN,1,e0fBBFsNXZs,0,1,1,0
HOUSE/AZ09 SINEMA&DCCC AS A SOCIAL WORKER,0,vSZXNoa6X5o,0,1,0,0
HOUSE/CA03 GARAMENDI CLINTON IN THIS TOGETHER,0,G3cJJN1br2o,0,1,1,0
HOUSE/CA03 GARAMENDI GREW UP ON THIS RANCH,1,0bJq3lTLxEE,0,1,0,0
HOUSE/CA03 GARAMENDI MAKE IT IN AMERICA,1,-puBEpSWiO8,0,1,0,0
HOUSE/CA03 GARAMENDI&DCCC WATER,1,eysxIRQeGiY,0,1,0,0
HOUSE/CA03 VANN NEW DIRECTION,1,h8xK5cO5TSk,1,1,0,1
HOUSE/CA06 MATSUI AN HONOR,1,Gzqv96Ie86A,0,1,1,0
HOUSE/CA06 MATSUI HONORED,1,MxXdlZi44Ko,0,1,0,0
HOUSE/CA07 BERA A PROMISE MADE IS A PROMISE KEPT,1,ET5yaHp8PyQ,0,1,0,1
HOUSE/CA07 BERA ENSURING,1,SGqTkvHSDr0,1,1,0,1
HOUSE/CA07 BERA IN CONGRESS FOR THE RIGHT REASONS,1,K1mTmR-5vSo,1,1,0,1
HOUSE/CA07 BERA LUNGREN IS OUT OF STEP,1,QxFLpBDSVZo,1,1,1,1
HOUSE/CA07 BERA MORE THAN AN OATH,1,DQm5IiQdH-A,0,0,1,1
HOUSE/CA07 BERA PEOPLE ARE STRUGGLING,1,mMnmOjgvRkg,0,1,1,0
HOUSE/CA07 BERA SWORE AN OATH,1,iax8sC2Q0W0,1,1,0,1
HOUSE/CA07 OSE INDEPENDENT LEADER,1,tO1R7EmpWhU,0,1,0,0
HOUSE/CA09 MCNERNEY GILL NEVER HELD A FULL TIME JOB,0,VLL7Eck2HME,0,1,0,1
HOUSE/CA09 MCNERNEY LOCAL VETERANS,1,0qs28HbPxtU,0,1,0,0
HOUSE/CA09 MCNERNEY WHOA,0,mfK1J62rNZI,1,1,0,1
HOUSE/CA09 MCNERNY CONSEQUENCES,1,r8AC2FrDwyM,0,0,0,1
HOUSE/CA10 HERNANDEZ DENHAM MOST HYPOCRITICAL MAN IN CONGRESS,1,BmWvNmN0DzY,1,0,0,0
HOUSE/CA10 HERNANDEZ FIGHTING,1,kdDp7jFr_3w,1,0,0,0
HOUSE/CA10 HERNANDEZ WHAT IS HAPPENING,1,TwlM9jIdqBc,1,0,1,1
HOUSE/CA10 HERNANDEZ&DCCC BELIEVE,1,2AT-rWKnD-I,0,1,0,0
HOUSE/CA17 HONDA BILLIONAIRES,0,TcBaIiK8je4,1,0,1,1
HOUSE/CA20 FARR MAKE A DIFFERENCE 60,1,1VWfl5v-O54,0,1,0,0
HOUSE/CA21 DCCC&RENTERIA FALLING IN THE POLLS,1,zACyEPJoXpk,1,1,1,0
HOUSE/CA21 HERNANDEZ BIG MONEY BOYS,1,75TGweOMGsk,0,1,0,1
HOUSE/CA21 RENTERIA BORN AND RAISED,1,qK5KdM0Uj-Q,0,1,1,0
HOUSE/CA21 RENTERIA FRESNO BEE,1,-3joGJXFu7Y,0,1,0,0
HOUSE/CA22 LEE HONORED,0,Fb4cvCRS-oo,1,1,0,0
HOUSE/CA22 LEE SMALLER GOVERNMENT,1,YXC9OmW7z1Q,1,1,0,1
HOUSE/CA22 LEE VISALIA TIMES-DELTA SAID,1,Tep_GSann54,1,0,0,1
HOUSE/CA23 MCCARTHY CAROL FEIL,1,5Szo610AbVU,0,1,1,0
HOUSE/CA23 MCCARTHY DARRELL FEIL,1,6ji9YpSHzVs,0,1,0,0
HOUSE/CA23 MCCARTHY IS A MAN OF INTEGRITY,1,2Ic7f8PvmD8,0,1,1,1
HOUSE/CA23 MCCARTHY LAARY STARRH,1,N-EFnX6TS0k,0,1,0,0
HOUSE/CA23 MCCARTHY LEON THOMAS,1,3VDBxMNv3A4,0,1,0,0
HOUSE/CA23 MCCARTHY SERVE YOU,1,yOVu-aG5llI,0,1,0,0
HOUSE/CA24 CAPPS FRIENDS,1,tdxBZncIhtE,0,1,1,1
HOUSE/CA24 CAPPS MALDONADO FALSLEY ATTACKING,1,qFHHv4SA1-Q,1,0,0,1
HOUSE/CA24 CAPPS MALDONADO WILL SAY ANYTHING,0,lGgF8bIfl7k,1,0,0,1
HOUSE/CA24 CAPPS NEWSPAPERS REPORT,0,A4Nik9niixw,1,0,1,1
HOUSE/CA24 CAPPS OUR CHOICE IS CLEAR,1,n61X8UQl56M,1,1,0,1
HOUSE/CA24 CAPPS SCHWARZENEGGER SAID JUMP,1,21Xrbw2g2K0,1,0,1,1
HOUSE/CA24 CAPPS STANDS WITH MIDDLE CLASS FAMILIES,0,R1nuNWMIuL4,1,1,1,1
HOUSE/CA24 CAPPS THOUGHTFUL AND BIPARTISAN,1,1Lfrfb6a2MI,0,1,0,1
HOUSE/CA24 CAPPS TRUST,1,gKsZzd3vbjs,0,1,0,1
HOUSE/CA24 MALDONADO AMERICA,1,fLuoY2jj00M,1,1,0,0
HOUSE/CA24 MITCHUM DEBT AND A SHAKY ECONOMY,1,lgNqgi2UpHk,1,0,0,1
HOUSE/CA24 MITCHUM INDEPENDENT LEADER,1,-bWYDzpIz6g,0,1,0,1
HOUSE/CA24 MITCHUM NEW KIND OF LEADER,1,vNR9MbxEf7o,0,1,0,1
HOUSE/CA26 BROWNLEY STRICKLAND JUST DOESN'T GET IT,0,NAI-o6_2LFA,0,0,1,1
HOUSE/CA26 BROWNLEY STRONGEST,1,fgqN1tqrCJU,0,1,1,1
HOUSE/CA26 STRICKLAND JACQUELYN'S STORY,1,aNvkHeHO8wE,0,1,1,1
HOUSE/CA26 STRICKLAND OUR HOME,1,afBHDh_y2DU,0,1,0,0
HOUSE/CA26 STRICKLAND PUTS VENTURA COUNTY FIRST,1,hYFXxdh_les,0,1,0,0
HOUSE/CA33 BLOOMFIELD NATIONAL DEBT,1,cCRIMVX30hQ,0,1,0,0
HOUSE/CA33 CARR TERESA KENNARD,1,g3B5Qdhe9NI,0,0,1,1
HOUSE/CA33 LIEU PERFECT RATING,1,ILO9vIvpsJg,0,1,0,1
HOUSE/CA33 LIEU SON OF HARD WORKING IMMIGRANT PARENTS,0,0zz2Fk08d5U,0,1,0,0
HOUSE/CA33 WAXMAN BLOOMFIELD'S RECORD,0,4P4AOTy2uGc,1,0,1,1
HOUSE/CA36 BONO-MACK MY DAD,0,G-1oKLMhiQ4,0,1,1,1
HOUSE/CA36 BONO-MACK RUIZ WALKING IN THE LAND OF GIANTS,0,mbx1XVof114,0,1,0,0
HOUSE/CA36 BONO-MACK SECURITY,1,eE_tyFUFvrA,0,1,0,0
HOUSE/CA36 BONO-MACK STOP,1,XjeGp_M5TPM,1,0,0,1
HOUSE/CA36 BONO-MACK THANKSGIVING,1,w0v8HJREzqs,1,0,0,1
HOUSE/CA36 BONO-MACK UNIQUE RECORD,1,ZTmiiS_nP7k,0,1,0,0
HOUSE/CA36 NESTANDE SHAME ON YOU,1,xxbeOTPPbBo,1,1,0,0
HOUSE/CA36 NESTANDE SUFFERING,1,nHX4zfE7H0o,1,1,0,0
HOUSE/CA36 NESTANDE THE CHOICE IS CLEAR,1,PXdbxCT1nfk,1,1,0,1
HOUSE/CA36 RUIZ ACCURATE PICTURE,1,Bd_PDArF5TI,0,1,0,0
HOUSE/CA36 RUIZ ANDREW WALKER,1,KHm7Pj4HWCg,1,0,0,0
HOUSE/CA36 RUIZ BONO-MACK DIRTIEST CAMPAIGN I'VE EVER SEEN,1,YMmilQNoupo,1,0,0,1
HOUSE/CA36 RUIZ BONO-MACK HAS CHANGED,1,W5H0SUnZ5Ik,1,0,0,1
HOUSE/CA36 RUIZ ER DOCTOR,1,IrgxqhzVSec,0,1,0,0
HOUSE/CA36 RUIZ GROWING UP,1,bFKis9jmKvA,0,1,1,0
HOUSE/CA36 RUIZ HERBERT JACKSON,0,WvBfEk-uuWw,0,1,0,0
HOUSE/CA36 RUIZ PATIENTS,1,wznFhYHSqTk,0,1,0,1
HOUSE/CA36 RUIZ PROTECTING NATIVE AMERICAN,1,Vh92WQ3aZ0s,0,1,1,0
HOUSE/CA36 RUIZ THANKS TO MEDICARE,1,3yTg4LDjaZA,1,1,1,1
HOUSE/CA36 RUIZ THE GOOD LIFE,1,ILYG3qLolJg,0,1,0,0
HOUSE/CA36 RUIZ WHAT'S HAPPENED TO BONO-MACK,1,qTqL8jRghno,1,0,0,1
HOUSE/CA36 RUIZ WHO'S SIDE,1,ZhQ18Pwicu0,1,0,1,1
HOUSE/CA52 DCCC&PETERS ACTIONS SPEAK LOUDER THAN WORDS,0,9bAuOfdhUX4,1,1,0,1
HOUSE/CA52 DEMAIO FIX A BROKEN CONGRESS,0,5NpF2xJpvro,1,1,0,0
HOUSE/CA52 DEMAIO PROUD GAY AMERICAN,1,qx8LmBtSoHc,0,1,1,0
HOUSE/CA52 DEMAIO SCOTT PETERS IS LYING,0,cWu-Tk52aBg,1,1,0,1
HOUSE/CA52 DEMAIO UNWAVERING PRINCIPLES,1,yx8hujWmltg,0,1,1,0
HOUSE/CA52 PETERS BILBRAY AFTER TWENTY YEARS,1,Ra4gY5U3oew,0,1,0,1
HOUSE/CA52 PETERS BUDGET,0,PSaKi6HqLqE,1,0,1,1
HOUSE/CA52 PETERS DEMAIO HIDING SOMETHING,1,smRIEZldOG4,1,0,1,1
HOUSE/CA52 PETERS JOELLE,1,vcgWX3CA6G8,0,0,1,1
HOUSE/CA52 PETERS KIDS,1,hsfAyDc63gk,1,1,0,1
HOUSE/CA52 PETERS MICHAEL RENSTROM,1,oBwuefz-vE4,0,1,0,1
HOUSE/CA52 PETERS OFF TO SCHOOL,0,YisGeUbvQL4,1,1,1,1
HOUSE/CA52 PETERS RIGHT THING,1,wTOeMRIiIPo,0,1,0,0
HOUSE/CA52 PETERS&DCCC ANOTHER DAY,1,jx817_BsT6k,1,1,0,1
HOUSE/CO03 PACE AMERICAN STEEL,0,fb1V4-9CCiE,0,1,1,1
HOUSE/CO03 PACE REGULAR DAY,1,TRiFH3JDZx4,0,1,0,0
HOUSE/CO03 PACE SCORCHED EARTH,1,l9gutJu7RNg,0,0,1,1
HOUSE/CO03 PACE&DCCC NEARBY,1,ZAY7S6nenic,0,1,0,0
HOUSE/CO03 TIPTON PACE HURTING SENIORS,1,LKM8hEYR9sQ,1,0,0,1
HOUSE/CO03 TIPTON PACE LOVES TAXES,0,2S-la5mNzbM,1,1,0,1
HOUSE/CO03 TIPTON PACE WE KNOW,0,k9UNQpcFKug,1,0,1,1
HOUSE/CO03 TIPTON RECKLESS SPENDING,1,s7Mov1-1RfU,1,1,1,0
HOUSE/CO03 TIPTON&NRCC MEDICARE PROMISE,0,PdwZ3juXmd4,1,1,0,1
HOUSE/CO05 HALTER 32 YEARS IN THE AIRFORCE,0,g1sSt5WPTng,0,1,0,0
HOUSE/CO05 HALTER SPENDS OUR MONEY,1,w_ZagLBY_ws,1,0,0,1
HOUSE/CO06 COFFMAN DISTURBING REPORTS,1,FFTEcxlosY4,1,1,0,1
HOUSE/CO06 COFFMAN KATIE'S LAW,1,WsD2CDI3fnU,1,0,0,1
HOUSE/CO06 COFFMAN MIDDLE CLASS,1,oDTiUDM2XYE,1,1,0,0
HOUSE/CO06 COFFMAN PARENTS,1,t8pVkTVEHtU,0,0,1,1
HOUSE/CO06 COFFMAN SERVICE ABOVE SELF,1,oRqwSlXRwaM,0,1,0,0
