creative,uid,train,music1,music2,music3,music4
GOV/SD DAUGAARD LINDA,AIAIMvCS6Qk,1,0,1,0,0
GOV/SD DAUGAARD STAY TRUE,MWhahIcCKtw,1,0,1,0,0
GOV/SD DAUGAARD ZAY NORMAN 60,TEI2_j5B79U,1,0,1,0,0
GOV/TN HASLAM OUR SCHOOLS,_w76BlUhH3Y,1,0,1,0,0
GOV/TN HASLAM WORK HORSE 60,dJodgq3WZuM,1,0,1,0,0
GOV/TN HASLAM WORKING TOGETHER,r7qLqMo-5JY,1,0,1,0,0
GOV/TX ABBOTT AFTER MY ACCIDENT,pAuKRyQgvgU,1,0,1,0,1
GOV/TX ABBOTT EVERY WEEK,4kKt5vqkotE,0,0,1,0,0
GOV/TX ABBOTT MARY PHALEN,kUF9bGLdnEc,0,0,1,1,0
GOV/TX ABBOTT MIRANDA,pm6Ze_Py7VA,1,0,1,0,1
GOV/TX ABBOTT TOGETHER WE CAN,Qsv85rhr-Ho,1,0,1,0,0
GOV/TX ABBOTT TRAFFIC,VYEYP8fjBFQ,0,0,1,0,0
GOV/TX DAVIS A TREE,lush7TZB860,1,0,0,1,1
GOV/TX DAVIS ABBOTT VS EDUCATION,0c-NX8Pu1k4,1,1,1,1,1
GOV/TX DAVIS EDUCATION LED ME,qg3OMTjYTc0,0,0,1,1,1
GOV/TX DAVIS MANUEL ALVARADO,_Vy-YD3mFcM,1,1,0,1,1
GOV/TX DAVIS MARCH 26 60,EV3aMuXsOVQ,0,0,0,1,1
GOV/TX DAVIS TEXAS SURGEON,62DtQZWAIzw,1,1,0,1,1
GOV/UT HERBERT EDUCATION TOP PRIORITY,Hh8QeYYqFUQ,1,0,1,1,0
GOV/UT HERBERT EDUCATION TOP PRIORITY REV,tPqI5W07ZLA,1,0,1,1,0
GOV/UT HERBERT ENERGY INDEPENDENCE 60,xHbrbUY9_AA,1,0,1,1,0
GOV/UT HERBERT FREE ENTERPRISE,zsuS-e8A6YU,1,0,1,1,0
GOV/UT HERBERT PUT UTAHNS TO WORK,5cfqt2OWi-w,0,0,1,1,0
GOV/VA CUCCINELLI BIG DIFFERENCES,AmwNLc7dFQk,0,1,1,0,1
GOV/VA CUCCINELLI CORRUPT INSIDER,8j4DcRqu0pI,1,0,0,1,1
GOV/VA CUCCINELLI DEEPLY UNSERIOUS,Mcqjn3-ebAQ,1,1,0,0,1
GOV/VA CUCCINELLI FEDERAL INVESTIGATIONS,kS6hVjvGJag,0,1,0,0,1
GOV/VA CUCCINELLI GARBARINO,XdiV--xv2Tc,1,0,0,1,1
GOV/VA CUCCINELLI HAYNESWORTH 60,IR1E7ECImJs,1,0,1,1,1
GOV/VA CUCCINELLI NEW LOW,YxHytvYS6MA,0,0,1,0,1
GOV/VA CUCCINELLI NOT SUSTAINABLE 15,FNUVasmLMok,1,1,0,1,1
GOV/VA CUCCINELLI OBAMACARE,xwptTt-93k0,1,1,0,0,1
GOV/VA CUCCINELLI OFFERING 15,BTEA1ANiNRU,1,1,0,0,1
GOV/VA CUCCINELLI OPPORTUNITY,-DbFa8VZyk0,0,1,1,0,0
GOV/VA CUCCINELLI SCANDAL,SiqB1jkXfKI,1,1,0,0,1
GOV/VA CUCCINELLI THE TRUTH,faYcuihRYW8,1,1,0,1,1
GOV/VA CUCCINELLI TICHI,r6vj_wP7QyA,0,0,1,1,1
GOV/VA CUCCINELLI WAR ON COAL,4PkjgxVzJK0,1,0,1,0,1
GOV/VA CUCCINELLI WAR ON COAL REV,ohkdt-Uhxn8,0,1,1,0,1
GOV/VA CUCCINELLI WHO CAN YOU TRUST,RmWr5mygwVE,1,1,0,0,1
GOV/VA CUCCINELLI YOUR SIDE,1aP-8C63nkg,1,0,1,0,0
GOV/VA MCAULIFFE BIRTH CONTROL PILLS,Cg5BtFeuV9A,1,1,0,0,1
GOV/VA MCAULIFFE DIVORCE LAWS,q-55aPMOcBE,1,1,0,0,1
GOV/VA MCAULIFFE EDUCATION,VF8cu2QxBu0,1,1,0,1,1
GOV/VA MCAULIFFE EXTREME AGENDA,eh4mPUhan70,0,1,1,0,1
GOV/VA MCAULIFFE FOCUS,aVa6k3PRl5Q,0,0,1,0,0
GOV/VA MCAULIFFE GIFTS,8ArggKrSSwk,0,1,0,0,1
GOV/VA MCAULIFFE HOLLY PURITZ,SZckqiIJdKE,1,0,0,1,1
GOV/VA MCAULIFFE IN THE RACE 15,-ypmoR--LdI,1,0,1,0,0
GOV/VA MCAULIFFE JOBS,gdUlE_Fd4qc,1,0,1,0,0
GOV/VA MCAULIFFE KATHERINE WADDELL,yHmGOfZ1J9A,0,0,1,0,0
GOV/VA MCAULIFFE KEN OSBORNE 60,a4uHv_yZZ40,1,0,0,1,0
GOV/VA MCAULIFFE LANDOWNERS,hz7gkphqchs,1,1,0,0,1
GOV/VA MCAULIFFE LARRY 15,u_Ypcy1SEVQ,1,1,0,0,0
GOV/VA MCAULIFFE MARK WARNER,yG77LQYuyPk,1,0,1,0,0
GOV/VA MCAULIFFE MEADE 15,HAlJ8cLexh4,1,0,1,0,0
GOV/VA MCAULIFFE NEW LOW,s2hKwx96t1k,1,1,0,0,1
GOV/VA MCAULIFFE OUTSTANDING,Wg2VlqQGPkE,1,0,1,0,0
GOV/VA MCAULIFFE PAUL OSBORNE,9d_3c2Fd6kA,1,1,0,1,1
GOV/VA MCAULIFFE PROUD,R0Vv6Tme_6Q,1,0,1,0,0
GOV/VA MCAULIFFE RADICAL PLANS,Wc83kXjwYt4,1,1,0,0,1
GOV/VA MCAULIFFE SEPTEMBER 2012,pkSvup9thME,1,1,0,1,1
GOV/VA MCAULIFFE SESSOMS 15,OZAJTH3DbPE,0,0,1,0,0
GOV/VA MCAULIFFE SHIRLEY KEENE 60,gaZX_hLkmaY,0,0,0,1,1
GOV/VA MCAULIFFE SHUTDOWN,BLDbe9DubIQ,1,1,0,1,1
GOV/VA MCAULIFFE TOO IMPORTANT,pSy92npgOuE,1,1,1,0,1
GOV/VA MCAULIFFE TROUBLED,8ehaQ4pkRb4,1,1,0,0,1
GOV/VA MCAULIFFE TWISTS THE FACTS,n-BrU7fw2zg,1,1,0,0,1
GOV/VA MCAULIFFE WHAT CUCCINELLI SAYS,w_2_m8d1GFM,1,1,0,0,1
GOV/VA MCAULIFFE WITCH HUNT,gss2D-s6SvQ,1,1,0,0,1
GOV/VA MCAULIFFE YOUNGEST OF FOUR,EmM_Y6uUCPg,0,0,1,0,0
GOV/VT BROCK HIS PARENTS,enObHYD_-SM,1,0,1,0,0
GOV/VT BROCK KIDS LEAVE VERMONT,P82NFab7QiU,1,1,1,0,1
GOV/VT BROCK SHUMLIN HEALTHCARE,8JA0_WfRBQU,0,0,1,1,1
GOV/VT BROCK SHUMLINS VERMONT,O7tUZxugU_E,1,1,1,0,1
GOV/VT BROCK THE VERMONT WAY,Auv1qwQd7gg,0,1,1,0,1
GOV/VT MILNE HAPPY,dvxpHOkT71Q,1,0,1,0,1
GOV/VT MILNE OUT OF STATE,I8FLi-bm07c,1,1,0,1,1
GOV/VT MILNE SMALL BUSINESS,yrc3TSgsNTc,1,0,1,1,0
GOV/VT SHUMLIN AGREE,TxNsKsnYcWg,1,0,1,0,0
GOV/VT SHUMLIN ENERGY FUTURE,0jfeJVCTlBI,1,0,1,0,0
GOV/VT SHUMLIN GET TOUGH THINGS DONE,WYI8I885Gls,1,0,1,1,0
GOV/VT SHUMLIN JOHN WALL,mHDWBFzBUFQ,1,0,1,1,0
GOV/VT SHUMLIN MY DAUGHTER,s8d6WjWbu-4,1,0,1,1,0
GOV/VT SHUMLIN PATRICK LEAHY,aKYnJHNxZdw,1,0,1,0,0
GOV/VT SHUMLIN RAINA LOWELL,CINuSQJJVU8,1,0,1,0,0
GOV/VT SHUMLIN THERE FOR US,Mc7Y6B3g6wE,1,0,1,0,0
GOV/WA INSLEE CLINTON,sahcoZyCifY,1,0,1,0,0
GOV/WA INSLEE CREATE INVENT BUILD,hCfNcpNnU90,1,0,1,0,0
GOV/WA INSLEE JOBS PLAN,j8DUr_0STVo,1,0,1,0,0
GOV/WA INSLEE MCKENNA WOMENS HEALTHCARE,8ZHtq7UFxAs,1,1,0,0,0
GOV/WA INSLEE PROTECT OUR PENSIONS,jncJUnpdI8Y,0,1,0,0,0
GOV/WA INSLEE SUPPORTING,mxBaNzVNQFc,1,0,1,0,0
GOV/WA INSLEE WHO WILL BRING CHANGE,czd0d0UNHoY,1,1,1,0,1
GOV/WI BURKE 11 DOLLARS,Vu4yQTzxwqM,1,1,0,1,1
GOV/WI BURKE ANNIE PENDL,yPcRP78CRjg,1,0,1,0,0
GOV/WI BURKE AUGUST,EKcLFvZaKjQ,1,0,1,0,0
GOV/WI BURKE BILL CLINTON,uCBq-T-gTGs,1,0,1,0,0
GOV/WI BURKE ERIN FORREST 15,yNcspJIpSKM,0,0,1,0,1
GOV/WI BURKE FAIRYTALE AD,iAoq7ldS8i0,0,0,0,0,1
GOV/WI BURKE GARY ELLERMAN,K74nXfUDhDI,1,1,0,0,1
GOV/WI BURKE HAPPENED AGAIN,uX9F0kxYG_M,1,0,0,1,1
GOV/WI BURKE HE CALLS IT,Rv6bwt-Euw4,1,0,0,1,1
GOV/WI BURKE HOLD ON,VuI5R7EzvFw,1,1,0,1,1
GOV/WI BURKE JULY 2014,fCKQ55HiNjI,1,0,0,1,1
GOV/WI BURKE MIDWEST,zJLsOCpfHXg,1,1,0,0,1
GOV/WI BURKE NEXT FOUR YEARS,QKnNBygwLEs,1,1,0,0,0
GOV/WI BURKE OLD RED BARN 60,AcDZDIN_ijI,1,1,1,1,1
GOV/WI BURKE POLITICAL FISTFIGHTS,ZJ_SA7f9uNs,1,0,0,1,1
GOV/WI BURKE QUINCE & APPLE 60,4XQQb0zMSU8,1,0,1,0,0
GOV/WI BURKE RONALD REAGAN,NylJy0Vl0Fg,1,0,1,0,0
GOV/WI BURKE TARA PABELLON,ghYv2XTg1sY,1,0,0,1,1
GOV/WV MALONEY FEWER PEOPLE WORKING,XV_mUbU3CwM,1,1,1,0,1
GOV/WV MALONEY NEGATIVE ADS,Gd5kEJF8yoU,1,0,1,1,0
GOV/WV MALONEY OUT OF TOUCH TOMBLIN,lvQ9T70NMOk,1,1,0,1,1
GOV/WV MALONEY SHARON MALONEY,snhqp_ef91U,1,0,1,0,0
GOV/WV MALONEY TOMBLIN USED POWER,eoSP0Px-JlY,1,1,1,0,1
GOV/WV MALONEY TOMBLINS 37 YEARS,n6ZLUZo77es,1,1,0,0,1
GOV/WV TOMBLIN ABOUT WEST VIRGINIA,D76J34e6ev4,1,0,1,0,0
GOV/WV TOMBLIN JUST ACROSS THE TRACKS,-gResrcQw7A,1,0,1,0,0
GOV/WV TOMBLIN WHEN TIMES ARE TOUGH,t_ga2YKPHmU,1,0,1,0,0
GOV/WV TOMBLIN WV COAL MINERS,7hvw7s5CTa4,1,1,1,0,1
HOUSE/AK01 YOUNG SENATOR MURKOWSKI,dKNl1amq6u0,1,0,1,0,0
HOUSE/AK01 YOUNG WHAT HAPPENS HERE,lHZZERCg6OA,1,0,1,0,0
HOUSE/AL06 PALMER FOR SIX YEARS,s1rOwSngzko,1,1,1,0,1
HOUSE/AR01 CRAWFORD IT CAME FROM WASHINGTON,bqAfEUP4evU,1,1,1,0,1
HOUSE/AR01 CRAWFORD TICKING TIME BOMB,QEtYnTXi_yc,1,0,1,0,1
HOUSE/AR02 HAYS BUSINESSES,ik5xwl3_FLs,1,0,1,0,0
HOUSE/AR02 HAYS CATERPILLAR,OPsrE_rKl2E,0,0,1,0,0
HOUSE/AR02 HAYS FRENCH HILL'S BEST INVESTMENT,eUCv_jCSMwc,0,1,0,0,1
HOUSE/AR02 HAYS OPPOSITE OF WASHINGTON,FBj5vhzjJ6E,1,0,1,0,0
HOUSE/AR02 HAYS THE FACTS ARE CLEAR,u-NmUjuvwWI,1,1,0,1,1
HOUSE/AR02 HILL ARKANSAS DEMOCRAT GAZETTE,Jo20hXiMyGE,1,1,0,0,1
HOUSE/AR02 HILL ATTACKING ME FALSELY,ro_yR9CnrOE,1,1,0,0,1
HOUSE/AR02 HILL PASTOR TOM MITCHELL,-ZE7ALCwN2c,1,0,1,1,1
HOUSE/AR02 HILL REAL CHOICE,tyBtWPPYhIw,1,1,0,0,0
HOUSE/AR04 COTTON FIGHT THROUGH THE FIRE 15,VQd-oNNr2XQ,1,0,1,0,0
HOUSE/AR04 COTTON WE ALL TOOK AN OATH,5Cj0q0EbQTs,1,0,1,0,0
HOUSE/AR04 DCCC&WITT BIPARTISAN,ciqxLp02uCI,1,0,1,1,0
HOUSE/AR04 WESTERMAN THE VALUES,v2HfIC-Ce-s,1,0,1,0,0
HOUSE/AR04 WITT LED THE RESPONSE,6ng8ttq5HqY,0,0,1,0,0
HOUSE/AR04 WITT WASHINGTON IS BROKEN,sg_MfJtE9Ao,1,0,1,1,0
HOUSE/AZ01 KIRKPATRICK AT 18,5mOVM92jiF8,1,0,1,0,0
HOUSE/AZ01 KIRKPATRICK DRIVEN,H-vApzyuhVc,1,0,1,0,1
HOUSE/AZ01 KIRKPATRICK NEWSPAPERS AGREE,aeS05avHDs0,0,1,0,0,1
HOUSE/AZ01 KIRKPATRICK REFUNDED,GokdiJLMrpw,1,1,1,0,1
HOUSE/AZ01 KIRKPATRICK RIGHT WAY,IwzYREAxI0M,1,0,1,1,0
HOUSE/AZ01 KIRKPATRICK THESE BOOTS,cY6nT_ChSMI,1,1,1,0,1
HOUSE/AZ01 PATON KIRKPATRICK OBAMACARE,0SxXVygJTWY,1,1,0,0,1
HOUSE/AZ01 PATON&NRCC LEAD BY EXAMPLE,h-9_m2JpKus,1,1,1,0,1
HOUSE/AZ01 TOBIN PLAY GAMES IN WASHINGTON,5M4UXObrTDk,1,1,1,0,0
HOUSE/AZ01 TOBIN&NRCC OUTRAGEOUS,izTPOq8klxE,0,0,1,0,0
HOUSE/AZ02 BARBER BEHIND THE GIMMICKS,oh2OOX8qEp0,1,0,1,0,1
HOUSE/AZ02 BARBER GEOFF OLDFATHER,dumZiFQRcqY,1,0,1,0,0
HOUSE/AZ02 BARBER KRIS SCHAEFER ROGERS,FVkP2g4TgSw,1,0,0,1,1
HOUSE/AZ02 BARBER NICOLE,MwOlloLgDG0,1,1,1,0,1
HOUSE/AZ02 BARBER PLENTY OF BLAME TO GO AROUND,d0AxbxHdeQ8,1,1,1,0,1
HOUSE/AZ02 BARBER RISING COLLEGE TUITION COSTS,0OD90PfCLJU,0,0,1,0,1
HOUSE/AZ02 BARBER ROBERT GILBERT,ymD6oQ9PeYQ,1,0,1,0,0
HOUSE/AZ02 BARBER SIMPLY NOT TRUE,oqn-If0W65k,1,1,0,1,1
HOUSE/AZ02 BARBER SOME PEOPLE SAY,xKTPn3I2joI,1,0,1,0,1
HOUSE/AZ02 MCSALLY ATTACK ADS,3oHi9-Q5I2c,1,1,1,0,0
HOUSE/AZ02 MCSALLY DANGEROUS WORLD,QHZavn2zXjs,1,1,0,0,1
HOUSE/AZ02 MCSALLY NOW I'M VOTING,fR09gQCG1kg,1,0,1,0,0
HOUSE/AZ02 MCSALLY PIONEERING SPIRIT,x3-mcf9owZQ,1,0,1,0,0
HOUSE/AZ02 MCSALLY REKINDLE,1-edDFTY9iM,1,0,1,0,0
HOUSE/AZ02 MCSALLY RON BARBER AND HIS ALLIES,t2Gevo23rhg,1,1,0,0,0
HOUSE/AZ02 MCSALLY WASHINGTON IS BROKEN,v5pcC-a1j8g,1,1,0,0,1
HOUSE/AZ02 MCSALLY WE'RE LOSING,hGnFfHjM9wE,1,1,1,0,0
HOUSE/AZ09 ROGERS SERVED,WYROWlwLASk,0,0,1,0,1
HOUSE/AZ09 ROGERS TERRORIST THREATS,_DF8VKLTSHQ,1,1,0,0,1
HOUSE/AZ09 SINEMA ALL VOTING,me83ufLN2nM,0,0,1,1,1
HOUSE/AZ09 SINEMA HOWARD AND JEAN SOMERS 60,-9WydeJNLHU,1,0,0,1,1
HOUSE/AZ09 SINEMA MORAL OBLIGATION,eDi3riI1KTg,1,0,1,0,0
HOUSE/AZ09 SINEMA NEITHER PARTY,q-txGzhzDIo,1,0,1,1,0
HOUSE/AZ09 SINEMA PAID INTO IT,yNHR01lVy_g,1,0,1,1,0
HOUSE/AZ09 SINEMA PARKER FORCE VIEWS ON WOMEN,csM6A65D4cA,1,0,1,1,1
HOUSE/AZ09 SINEMA WOMEN,e0fBBFsNXZs,1,0,1,1,1
HOUSE/AZ09 SINEMA&DCCC AS A SOCIAL WORKER,vSZXNoa6X5o,0,0,1,0,0
HOUSE/CA03 GARAMENDI CLINTON IN THIS TOGETHER,G3cJJN1br2o,0,0,1,1,0
HOUSE/CA03 GARAMENDI GREW UP ON THIS RANCH,0bJq3lTLxEE,1,0,1,0,0
HOUSE/CA03 GARAMENDI MAKE IT IN AMERICA,-puBEpSWiO8,1,0,1,0,0
HOUSE/CA03 GARAMENDI&DCCC WATER,eysxIRQeGiY,1,0,1,0,0
HOUSE/CA03 VANN NEW DIRECTION,h8xK5cO5TSk,1,1,1,0,1
HOUSE/CA06 MATSUI AN HONOR,Gzqv96Ie86A,1,0,1,1,1
HOUSE/CA06 MATSUI HONORED,MxXdlZi44Ko,1,0,1,0,0
HOUSE/CA07 BERA A PROMISE MADE IS A PROMISE KEPT,ET5yaHp8PyQ,1,0,1,1,1
HOUSE/CA07 BERA ENSURING,SGqTkvHSDr0,1,1,1,0,1
HOUSE/CA07 BERA IN CONGRESS FOR THE RIGHT REASONS,K1mTmR-5vSo,1,1,1,0,1
HOUSE/CA07 BERA LUNGREN IS OUT OF STEP,QxFLpBDSVZo,1,1,1,1,1
HOUSE/CA07 BERA MORE THAN AN OATH,DQm5IiQdH-A,1,0,0,1,1
HOUSE/CA07 BERA PEOPLE ARE STRUGGLING,mMnmOjgvRkg,1,0,1,1,0
HOUSE/CA07 BERA SWORE AN OATH,iax8sC2Q0W0,1,1,1,0,1
HOUSE/CA07 OSE INDEPENDENT LEADER,tO1R7EmpWhU,1,0,1,0,0
HOUSE/CA09 MCNERNEY GILL NEVER HELD A FULL TIME JOB,VLL7Eck2HME,0,0,1,0,1
HOUSE/CA09 MCNERNEY LOCAL VETERANS,0qs28HbPxtU,1,0,1,0,0
HOUSE/CA09 MCNERNEY WHOA,mfK1J62rNZI,0,1,0,0,1
HOUSE/CA09 MCNERNY CONSEQUENCES,r8AC2FrDwyM,1,0,0,0,1
HOUSE/CA10 HERNANDEZ DENHAM MOST HYPOCRITICAL MAN IN CONGRESS,BmWvNmN0DzY,1,1,0,0,0
HOUSE/CA10 HERNANDEZ FIGHTING,kdDp7jFr_3w,1,1,0,0,0
HOUSE/CA10 HERNANDEZ WHAT IS HAPPENING,TwlM9jIdqBc,1,1,0,1,1
HOUSE/CA10 HERNANDEZ&DCCC BELIEVE,2AT-rWKnD-I,1,0,1,0,0
HOUSE/CA17 HONDA BILLIONAIRES,TcBaIiK8je4,0,1,0,1,1
HOUSE/CA20 FARR MAKE A DIFFERENCE 60,1VWfl5v-O54,1,0,1,0,0
HOUSE/CA21 DCCC&RENTERIA FALLING IN THE POLLS,zACyEPJoXpk,1,1,1,1,0
HOUSE/CA21 HERNANDEZ BIG MONEY BOYS,75TGweOMGsk,1,0,1,0,1
HOUSE/CA21 RENTERIA BORN AND RAISED,qK5KdM0Uj-Q,1,0,1,1,0
HOUSE/CA21 RENTERIA FRESNO BEE,-3joGJXFu7Y,1,0,1,0,0
HOUSE/CA22 LEE HONORED,Fb4cvCRS-oo,0,1,1,0,0
HOUSE/CA22 LEE SMALLER GOVERNMENT,YXC9OmW7z1Q,1,1,1,0,1
HOUSE/CA22 LEE VISALIA TIMES-DELTA SAID,Tep_GSann54,1,1,0,0,1
HOUSE/CA23 MCCARTHY CAROL FEIL,5Szo610AbVU,1,0,1,1,0
HOUSE/CA23 MCCARTHY DARRELL FEIL,6ji9YpSHzVs,1,0,1,0,0
HOUSE/CA23 MCCARTHY IS A MAN OF INTEGRITY,2Ic7f8PvmD8,1,0,1,1,1
HOUSE/CA23 MCCARTHY LAARY STARRH,N-EFnX6TS0k,1,0,1,0,0
HOUSE/CA23 MCCARTHY LEON THOMAS,3VDBxMNv3A4,1,0,1,0,0
HOUSE/CA23 MCCARTHY SERVE YOU,yOVu-aG5llI,1,0,1,0,0
HOUSE/CA24 CAPPS FRIENDS,tdxBZncIhtE,1,0,1,1,1
HOUSE/CA24 CAPPS MALDONADO FALSLEY ATTACKING,qFHHv4SA1-Q,1,1,0,0,1
HOUSE/CA24 CAPPS MALDONADO WILL SAY ANYTHING,lGgF8bIfl7k,0,1,0,0,1
HOUSE/CA24 CAPPS NEWSPAPERS REPORT,A4Nik9niixw,0,1,0,1,1
HOUSE/CA24 CAPPS OUR CHOICE IS CLEAR,n61X8UQl56M,1,1,1,0,1
HOUSE/CA24 CAPPS SCHWARZENEGGER SAID JUMP,21Xrbw2g2K0,1,1,0,1,1
HOUSE/CA24 CAPPS STANDS WITH MIDDLE CLASS FAMILIES,R1nuNWMIuL4,0,1,1,1,1
HOUSE/CA24 CAPPS THOUGHTFUL AND BIPARTISAN,1Lfrfb6a2MI,1,0,1,0,1
HOUSE/CA24 CAPPS TRUST,gKsZzd3vbjs,1,0,1,0,1
HOUSE/CA24 MALDONADO AMERICA,fLuoY2jj00M,1,1,1,0,0
HOUSE/CA24 MITCHUM DEBT AND A SHAKY ECONOMY,lgNqgi2UpHk,1,1,0,0,1
HOUSE/CA24 MITCHUM INDEPENDENT LEADER,-bWYDzpIz6g,1,0,1,0,1
HOUSE/CA24 MITCHUM NEW KIND OF LEADER,vNR9MbxEf7o,1,0,1,0,1
HOUSE/CA26 BROWNLEY STRICKLAND JUST DOESN'T GET IT,NAI-o6_2LFA,0,0,0,1,1
HOUSE/CA26 BROWNLEY STRONGEST,fgqN1tqrCJU,1,0,1,1,1
HOUSE/CA26 STRICKLAND JACQUELYN'S STORY,aNvkHeHO8wE,1,0,1,1,1
HOUSE/CA26 STRICKLAND OUR HOME,afBHDh_y2DU,1,0,1,0,0
HOUSE/CA26 STRICKLAND PUTS VENTURA COUNTY FIRST,hYFXxdh_les,1,0,1,0,0
HOUSE/CA33 BLOOMFIELD NATIONAL DEBT,cCRIMVX30hQ,1,0,1,0,0
HOUSE/CA33 CARR TERESA KENNARD,g3B5Qdhe9NI,1,0,0,1,1
HOUSE/CA33 LIEU PERFECT RATING,ILO9vIvpsJg,1,0,1,0,1
HOUSE/CA33 LIEU SON OF HARD WORKING IMMIGRANT PARENTS,0zz2Fk08d5U,0,0,0,0,0
HOUSE/CA33 WAXMAN BLOOMFIELD'S RECORD,4P4AOTy2uGc,0,1,0,1,1
HOUSE/CA36 BONO-MACK MY DAD,G-1oKLMhiQ4,0,0,1,1,1
HOUSE/CA36 BONO-MACK RUIZ WALKING IN THE LAND OF GIANTS,mbx1XVof114,0,0,1,0,0
HOUSE/CA36 BONO-MACK SECURITY,eE_tyFUFvrA,1,0,1,0,0
HOUSE/CA36 BONO-MACK STOP,XjeGp_M5TPM,1,1,0,0,1
HOUSE/CA36 BONO-MACK THANKSGIVING,w0v8HJREzqs,1,1,0,0,1
HOUSE/CA36 BONO-MACK UNIQUE RECORD,ZTmiiS_nP7k,1,0,1,0,0
HOUSE/CA36 NESTANDE SHAME ON YOU,xxbeOTPPbBo,1,1,1,0,0
HOUSE/CA36 NESTANDE SUFFERING,nHX4zfE7H0o,1,1,1,0,0
HOUSE/CA36 NESTANDE THE CHOICE IS CLEAR,PXdbxCT1nfk,1,1,1,0,1
HOUSE/CA36 RUIZ ACCURATE PICTURE,Bd_PDArF5TI,1,0,1,0,0
HOUSE/CA36 RUIZ ANDREW WALKER,KHm7Pj4HWCg,1,1,0,0,0
HOUSE/CA36 RUIZ BONO-MACK DIRTIEST CAMPAIGN I'VE EVER SEEN,YMmilQNoupo,1,1,0,0,1
HOUSE/CA36 RUIZ BONO-MACK HAS CHANGED,W5H0SUnZ5Ik,1,1,0,0,1
HOUSE/CA36 RUIZ ER DOCTOR,IrgxqhzVSec,1,0,1,0,0
HOUSE/CA36 RUIZ GROWING UP,bFKis9jmKvA,1,0,1,1,0
HOUSE/CA36 RUIZ HERBERT JACKSON,WvBfEk-uuWw,0,0,1,1,0
HOUSE/CA36 RUIZ PATIENTS,wznFhYHSqTk,1,0,1,0,1
HOUSE/CA36 RUIZ PROTECTING NATIVE AMERICAN,Vh92WQ3aZ0s,1,0,1,1,0
HOUSE/CA36 RUIZ THANKS TO MEDICARE,3yTg4LDjaZA,1,1,1,1,1
HOUSE/CA36 RUIZ THE GOOD LIFE,ILYG3qLolJg,1,0,1,0,0
HOUSE/CA36 RUIZ WHAT'S HAPPENED TO BONO-MACK,qTqL8jRghno,1,1,0,0,1
HOUSE/CA36 RUIZ WHO'S SIDE,ZhQ18Pwicu0,1,1,0,1,1
HOUSE/CA52 DCCC&PETERS ACTIONS SPEAK LOUDER THAN WORDS,9bAuOfdhUX4,0,1,1,0,1
HOUSE/CA52 DEMAIO FIX A BROKEN CONGRESS,5NpF2xJpvro,0,1,1,0,0
HOUSE/CA52 DEMAIO PROUD GAY AMERICAN,qx8LmBtSoHc,1,0,1,1,0
HOUSE/CA52 DEMAIO SCOTT PETERS IS LYING,cWu-Tk52aBg,0,1,1,0,1
HOUSE/CA52 DEMAIO UNWAVERING PRINCIPLES,yx8hujWmltg,1,0,1,1,0
HOUSE/CA52 PETERS BILBRAY AFTER TWENTY YEARS,Ra4gY5U3oew,1,0,1,0,1
HOUSE/CA52 PETERS BUDGET,PSaKi6HqLqE,0,1,0,0,1
HOUSE/CA52 PETERS DEMAIO HIDING SOMETHING,smRIEZldOG4,1,1,0,1,1
HOUSE/CA52 PETERS JOELLE,vcgWX3CA6G8,1,0,0,1,1
HOUSE/CA52 PETERS KIDS,hsfAyDc63gk,1,1,1,0,1
HOUSE/CA52 PETERS MICHAEL RENSTROM,oBwuefz-vE4,1,0,1,0,1
HOUSE/CA52 PETERS OFF TO SCHOOL,YisGeUbvQL4,0,1,0,0,1
HOUSE/CA52 PETERS RIGHT THING,wTOeMRIiIPo,1,0,1,0,0
HOUSE/CA52 PETERS&DCCC ANOTHER DAY,jx817_BsT6k,1,1,1,0,1
HOUSE/CO03 PACE AMERICAN STEEL,fb1V4-9CCiE,0,0,1,1,1
HOUSE/CO03 PACE REGULAR DAY,TRiFH3JDZx4,1,0,1,0,0
HOUSE/CO03 PACE SCORCHED EARTH,l9gutJu7RNg,1,0,0,1,1
HOUSE/CO03 PACE&DCCC NEARBY,ZAY7S6nenic,1,0,1,0,0
HOUSE/CO03 TIPTON PACE HURTING SENIORS,LKM8hEYR9sQ,1,1,0,0,1
HOUSE/CO03 TIPTON PACE LOVES TAXES,2S-la5mNzbM,0,1,1,0,1
HOUSE/CO03 TIPTON PACE WE KNOW,k9UNQpcFKug,0,1,0,1,1
HOUSE/CO03 TIPTON RECKLESS SPENDING,s7Mov1-1RfU,1,1,1,1,0
HOUSE/CO03 TIPTON&NRCC MEDICARE PROMISE,PdwZ3juXmd4,0,1,1,0,1
HOUSE/CO05 HALTER 32 YEARS IN THE AIRFORCE,g1sSt5WPTng,0,0,1,0,0
HOUSE/CO05 HALTER SPENDS OUR MONEY,w_ZagLBY_ws,1,1,0,0,1
HOUSE/CO06 COFFMAN DISTURBING REPORTS,FFTEcxlosY4,1,1,1,0,1
HOUSE/CO06 COFFMAN KATIE'S LAW,WsD2CDI3fnU,1,1,0,0,1
HOUSE/CO06 COFFMAN MIDDLE CLASS,oDTiUDM2XYE,1,1,1,0,0
HOUSE/CO06 COFFMAN PARENTS,t8pVkTVEHtU,1,0,0,1,1
HOUSE/CO06 COFFMAN SERVICE ABOVE SELF,oRqwSlXRwaM,1,0,1,0,0
